************************************************************************
        TABLE OF ISOTOPES  0.780E-02  0.100E+01

        NO. SYMBOL T/F MASSNR PROTON
         163  =  NGIS           1  =  ISOMERS
    121 T  1  PROT   +  0  OOOOO  ->  1  NEUT   +  0  OOOOO   0.466E-99  LMP00  (+,g)  14   1.000E+00   0.000E+00
    122 T  2  HE  4  +  0  OOOOO  ->  1  BE  7  +  1  NEUT    0.100E-98  JINAC  (a,n)  11   1.000E+00  -1.832E+19
    123 T  2  HE  4  +  0  OOOOO  ->  1  LI  7  +  1  PROT    0.100E-98  JINAC  (a,p)  12   1.000E+00  -1.674E+19
    124 T  1  LI  7  +  1  PROT   ->  1  BE  7  +  1  NEUT    0.100E-98  JINAC  (p,n)   7   1.000E+00  -1.587E+18
    125 F  1  LI  7  +  1  PROT   ->  2  HE  4  +  0  OOOOO   0.145E-06  JINAC  (p,a)   8   1.000E+00   0.000E+00
    126 F  1  LI  7  +  1  HE  4  ->  1  B  11  +  0  OOOOO   0.100E-98  NACRR  (a,g)   9   1.000E+00   0.000E+00
    127 T  1  BE  7  +  1  NEUT   ->  1  LI  7  +  1  PROT    0.422E+10  JINAC  (n,p)   3   1.000E+00   1.587E+18
    128 T  1  BE  7  +  1  NEUT   ->  2  HE  4  +  0  OOOOO   0.768E+06  JINAC  (n,a)   4   1.000E+00   1.832E+19
    129 F  1  BE  7  +  1  HE  4  ->  1  B  11  +  0  OOOOO   0.100E-98  NACRR  (a,g)   9   1.000E+00   0.000E+00
    130 F  1  BE  7  +  0  OOOOO  ->  1  LI  7  +  0  OOOOO   0.853E-09  JINAC  (+,g)  14   1.000E+00   0.000E+00
    131 T  1  B  11  +  1  NEUT   ->  1  C  12  +  0  OOOOO   0.729E+03  JINAC  (n,g)   1   1.000E+00   1.540E+19
    132 T  1  B  11  +  1  PROT   ->  1  C  12  +  0  OOOOO   0.374E-17  NACRR  (p,g)   5   1.000E+00   1.540E+19
    133 T  1  B  11  +  1  PROT   ->  1  B  11  +  1  NEUT    0.100E-98  NACRR  (p,n)   7   1.000E+00   0.000E+00
    134 T  1  B  11  +  0  OOOOO  ->  1  LI  7  +  1  HE  4   0.100E-98  JINAC  (g,a)  10   1.000E+00  -8.360E+18
    135 F  1  B  11  +  1  HE  4  ->  1  N  14  +  1  NEUT    0.222E-42  JINAC  (a,n)  11   1.000E+00   0.000E+00
    136 T  1  B  11  +  1  HE  4  ->  1  C  14  +  1  PROT    0.468E-48  JINAC  (a,p)  12   1.000E+00   7.565E+17
    137 T  1  C  12  +  1  NEUT   ->  1  C  13  +  0  OOOOO   0.283E+03  KADON  (n,g)   1   1.000E+00   4.772E+18
    138 T  1  C  12  +  0  OOOOO  ->  1  B  11  +  1  NEUT    0.100E-98  JINAC  (g,n)   2   1.000E+00  -1.540E+19
    139 T  1  C  12  +  1  NEUT   ->  1  C  12  +  1  PROT    0.100E-98  JINAC  (n,p)   3   1.000E+00   0.000E+00
    140 T  1  C  12  +  1  PROT   ->  1  N  13  +  0  OOOOO   0.563E-21  NACRR  (p,g)   5   1.000E+00   1.876E+18
    141 T  1  C  12  +  0  OOOOO  ->  1  B  11  +  1  PROT    0.100E-98  JINAC  (g,p)   6   1.000E+00  -1.540E+19
    142 F  1  C  12  +  1  HE  4  ->  1  O  16  +  0  OOOOO   0.100E-98  NACRR  (a,g)   9   1.000E+00   0.000E+00
    143 T  1  C  12  +  1  HE  4  ->  1  O  15  +  1  NEUT    0.100E-98  JINAC  (a,n)  11   1.000E+00  -8.203E+18
    144 T  1  C  12  +  1  HE  4  ->  1  N  15  +  1  PROT    0.100E-98  JINAC  (a,p)  12   1.000E+00  -4.790E+18
    145 T  1  C  13  +  1  NEUT   ->  1  C  14  +  0  OOOOO   0.164E+03  KADON  (n,g)   1   1.000E+00   7.889E+18
