 initial abundance for selected isotopes
  648   0.00000E+00  MN 49
  649   0.00000E+00  MN 50
  650   0.00000E+00  MN 51
  651   0.00000E+00  MN 52
  652   0.00000E+00  MN 53
  653   0.00000E+00  MN 54
  654   1.09811E-05  MN 55
  655   0.00000E+00  MN 56
  656   0.00000E+00  MN 57
  657   0.00000E+00  MN 58
  658   0.00000E+00  MN 59
  659   0.00000E+00  MN 60
  660   0.00000E+00  MN 61
  661   0.00000E+00  MN 62
  662   0.00000E+00  MN 63
  663   0.00000E+00  MN 64
  664   0.00000E+00  MN 65
  665   0.00000E+00  MN 66
  666   0.00000E+00  MN 67
  667   0.00000E+00  MN 68
  668   0.00000E+00  MN 69
  669   0.00000E+00  MN 70
  670   0.00000E+00  MN 71
  671   0.00000E+00  MN 72
  672   0.00000E+00  MN 73
  673   0.00000E+00  MN 74
  674   0.00000E+00  MN 75
  675   0.00000E+00  MN 76
  676   0.00000E+00  MN 77
  677   0.00000E+00  MN 78
  678   0.00000E+00  MN 79
  679   0.00000E+00  MN 80
  680   0.00000E+00  MN 81
  681   0.00000E+00  MN 82
  682   0.00000E+00  MN 83
  683   0.00000E+00  MN 84
  684   0.00000E+00  MN 85
  685   0.00000E+00  MN 86
  686   0.00000E+00  MN 87
  687   0.00000E+00  MN 88
  688   0.00000E+00  MN 89
  689   0.00000E+00  FE 42
  690   0.00000E+00  FE 43
  691   0.00000E+00  FE 44
  692   0.00000E+00  FE 45
  693   0.00000E+00  FE 46
  694   0.00000E+00  FE 47
  695   0.00000E+00  FE 48
  696   0.00000E+00  FE 49
  697   0.00000E+00  FE 50
  698   0.00000E+00  FE 51
  699   0.00000E+00  FE 52
  700   0.00000E+00  FE 53
  701   8.11823E-05  FE 54
  702   0.00000E+00  FE 55
  703   1.32159E-03  FE 56
  704   3.10662E-05  FE 57
  705   4.20688E-06  FE 58
  706   0.00000E+00  FE 59
  707   0.00000E+00  FE 60
  708   0.00000E+00  FE 61
  709   0.00000E+00  FE 62
  710   0.00000E+00  FE 63
  711   0.00000E+00  FE 64
  712   0.00000E+00  FE 65
  713   0.00000E+00  FE 66
  714   0.00000E+00  FE 67
  715   0.00000E+00  FE 68
  716   0.00000E+00  FE 69
  717   0.00000E+00  FE 70
  718   0.00000E+00  FE 71
  719   0.00000E+00  FE 72
  720   0.00000E+00  FE 73
  721   0.00000E+00  FE 74
  722   0.00000E+00  FE 75
  723   0.00000E+00  FE 76
  724   0.00000E+00  FE 77
  725   0.00000E+00  FE 78
  726   0.00000E+00  FE 79
  727   0.00000E+00  FE 80
  728   0.00000E+00  FE 81
  729   0.00000E+00  FE 82
  730   0.00000E+00  FE 83
  731   0.00000E+00  FE 84
  732   0.00000E+00  FE 85
  733   0.00000E+00  FE 86
  734   0.00000E+00  FE 87
  735   0.00000E+00  FE 88
  736   0.00000E+00  FE 89
  737   0.00000E+00  FE 90
  738   0.00000E+00  FE 91
  739   0.00000E+00  FE 92
  740   0.00000E+00  CO 44
  741   0.00000E+00  CO 45
  742   0.00000E+00  CO 46
  743   0.00000E+00  CO 47
  744   0.00000E+00  CO 48
  745   0.00000E+00  CO 49
  746   0.00000E+00  CO 50
  747   0.00000E+00  CO 51
  748   0.00000E+00  CO 52
  749   0.00000E+00  CO 53
  750   0.00000E+00  CO 54
  751   0.00000E+00  CO 55
  752   0.00000E+00  CO 56
  753   0.00000E+00  CO 57
  754   0.00000E+00  CO 58
  755   3.99149E-06  CO 59
  756   0.00000E+00  CO 60
  757   0.00000E+00  CO 61
  758   0.00000E+00  CO 62
  759   0.00000E+00  CO 63
  760   0.00000E+00  CO 64
  761   0.00000E+00  CO 65
  762   0.00000E+00  CO 66
  763   0.00000E+00  CO 67
  764   0.00000E+00  CO 68
  765   0.00000E+00  CO 69
  766   0.00000E+00  CO 70
  767   0.00000E+00  CO 71
  768   0.00000E+00  CO 72
  769   0.00000E+00  CO 73
  770   0.00000E+00  CO 74
  771   0.00000E+00  CO 75
  772   0.00000E+00  CO 76
  773   0.00000E+00  CO 77
  774   0.00000E+00  CO 78
  775   0.00000E+00  CO 79
  776   0.00000E+00  CO 80
